product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
4 Chocolate Cupcakes with Vanilla Buttercream Topped with Pumpkin Decoration - Thanksgiving Menu,Bread & Butter Bakery and Fine Pastries,thanksgiving,23,442.000,0.000,0.000,442.000,57.460,499.460
Drink Tickets,,,55,440.000,0.000,0.000,440.000,57.200,497.200
"Vegan Cherry Pie - 8""",Bread & Butter Bakery and Fine Pastries,pie,26,509.700,-18.950,0.000,490.750,0.000,490.750
Copy of Bailey's & Coffee Cake,Bread & Butter Bakery and Fine Pastries,Cakes,7,476.000,0.000,0.000,476.000,0.000,476.000
Chicken Skewers with Peanut Dipping Sauce,Bread & Butter Bakery and Fine Pastries,Savoury,25,520.000,-24.000,-20.000,476.000,0.000,476.000
4 Valentine's Day Cupcakes - Chocolate Curl,Bread & Butter Bakery and Fine Pastries,valentines,21,412.000,0.000,0.000,412.000,53.560,465.560
150 Assorted Muffins-No Nuts,,,1,462.500,0.000,0.000,462.500,0.000,462.500
Hasselback Squash with Prosciutto Crisp and Brown Butter Breadcrumbs,Bread & Butter Bakery and Fine Pastries,,30,472.000,0.000,-16.000,456.000,0.000,456.000
Cranberry Compote,Bread & Butter Bakery and Fine Pastries,Holiday,76,468.000,-6.000,-12.000,450.000,0.000,450.000
6 Rhubarb Muffins,Bread & Butter Bakery and Fine Pastries,muffin,22,446.500,0.000,0.000,446.500,0.000,446.500
full vanilla slab cake with vanilla bc,,,2,440.000,0.000,0.000,440.000,0.000,440.000
Stuffing (Made with Turkey Drippings),Bread & Butter Bakery and Fine Pastries,thanksgiving,38,450.000,0.000,-20.000,430.000,0.000,430.000
2 Iced Shortbread,Bread & Butter Bakery and Fine Pastries,Easter,50,383.250,-3.180,0.000,380.070,46.290,426.360
Copy of Vanilla Vegan Cake,Bread & Butter Bakery and Fine Pastries,Cakes,2,425.000,0.000,0.000,425.000,0.000,425.000
Bag of 1 Gingerbread Man and 1 Snowflake,,,85,531.250,-106.250,0.000,425.000,0.000,425.000
Breakfast Pastry Selection - 8 am pickup,,,6,408.000,-40.800,0.000,367.200,47.740,414.940
Peach Raspberry Pie,Bread & Butter Bakery and Fine Pastries,pie,17,393.700,0.000,0.000,393.700,0.000,393.700
Extra Large Raspberry Macaron,Bread & Butter Bakery and Fine Pastries,,28,331.550,0.000,-10.950,320.600,41.640,362.240
"Iced Shortbread Cookie (heart-shaped, individually packaged)",,,80,320.000,0.000,0.000,320.000,41.600,361.600
